code,name,family,file,size,notes,source
TC1831,PATH SUBJECT TO FLOODING INDICATORS SHOW DEPTH,Bicyclists,PATH_SUBJECT_TO_FLOODING_INDICATORS_SHOW_DEPTH_TC1831.svg,450x750 mm,size from the drawing's overall width dimension (450 mm); type: WARNING SIGN,Original PDFs/TC signs/TC Signs_June 2026/bicyclists/TC1831.pdf
TC1907,BICYCLE CROSSING AHEAD,Bicyclists,BICYCLE_CROSSING_AHEAD_TC1907.svg,310x453 mm,size from the drawing's overall width dimension (310 mm); type: BICYCLE ROUTE SIGN,Original PDFs/TC signs/TC Signs_June 2026/bicyclists/TC1907.pdf
TC2089,WHEN BICYCLES PRESENT,Bicyclists,WHEN_BICYCLES_PRESENT_TC2089.svg,149x297 mm,size from the drawing's overall height dimension (297 mm); type: REGULATORY SIGN,Original PDFs/TC signs/TC Signs_June 2026/bicyclists/TC2089.pdf
TC2225,CYCLISTS KEEP LEFT WATCH FOR VEHICLES,Bicyclists,CYCLISTS_KEEP_LEFT_WATCH_FOR_VEHICLES_TC2225.svg,356x400 mm,size from the drawing's overall height dimension (400 mm); type: WARNING SIGN,Original PDFs/TC signs/TC Signs_June 2026/bicyclists/TC2225.pdf
TC2306,KEEP LEFT,Bicyclists,KEEP_LEFT_TC2306.svg,250x330 mm,size from the drawing's overall width dimension (250 mm); type: BEHAVIOURAL SIGN FOR PATHS,Original PDFs/TC signs/TC Signs_June 2026/bicyclists/TC2306.pdf
TC2306,KEEP LEFT,Bicyclists,KEEP_LEFT_VAR2_TC2306.svg,601x600 mm,no size found on the sheet; drawn at 1:10 — check; type: BEHAVIOURAL SIGN FOR PATHS,Original PDFs/TC signs/TC Signs_June 2026/bicyclists/TC2306.pdf
TC2357,SCOOTER,Bicyclists,,,no drawing found on the sheet,Original PDFs/TC signs/TC Signs_June 2026/bicyclists/TC2357.pdf
TC1019,UNDERPASS SUBJECT TO FLOODING,Bicyclists,UNDERPASS_SUBJECT_TO_FLOODING_TC1019.svg,450x749 mm,size from the drawing's overall width dimension (450 mm); type: WARNING SIGN,Original PDFs/TC signs/TC Signs_June 2026/bicyclists/tc1019.pdf
TC1086,OLYMPIC TRAINING ROUTE,Bicyclists,OLYMPIC_TRAINING_ROUTE_TC1086.svg,750x750 mm,size from the drawing's overall width dimension (750 mm); type: TEMPORARY WARNING SIGN,Original PDFs/TC signs/TC Signs_June 2026/bicyclists/tc1086.pdf
TC1087,OLYMPIC TRAINING ROUTE,Bicyclists,OLYMPIC_TRAINING_ROUTE_TC1087.svg,900x600 mm,size from the drawing's overall width dimension (900 mm); type: SUPPLEMENTARY PLATE,Original PDFs/TC signs/TC Signs_June 2026/bicyclists/tc1087.pdf
TC1087,OLYMPIC TRAINING ROUTE,Bicyclists,OLYMPIC_TRAINING_ROUTE_OLYMPIC_TC1087.svg,408x408 mm,no size found on the sheet; drawn at 1:10 — check; type: SUPPLEMENTARY PLATE,Original PDFs/TC signs/TC Signs_June 2026/bicyclists/tc1087.pdf
TC1313,GAPS IN BRIDGE DECK,Bicyclists,GAPS_IN_BRIDGE_DECK_TC1313.svg,450x300 mm,"size from the sheet's dimension table, first row (a = 450, b = 300); other rows are size variants not produced; type: INSTRUCTION SIGN",Original PDFs/TC signs/TC Signs_June 2026/bicyclists/tc1313.pdf
TC1314,BROKEN SURFACE,Bicyclists,BROKEN_SURFACE_TC1314.svg,450x300 mm,"size from the sheet's dimension table, first row (a = 450, b = 300); other rows are size variants not produced; type: INSTRUCTION SIGN",Original PDFs/TC signs/TC Signs_June 2026/bicyclists/tc1314.pdf
TC1456,CYCLIST ACTIVATED TRAFFIC SIGNAL,Bicyclists,CYCLIST_ACTIVATED_TRAFFIC_SIGNAL_TC1456.svg,541x1201 mm,no size found on the sheet; drawn at 1:10 — check; type: PEDESTAL ADHESIVE LABEL,Original PDFs/TC signs/TC Signs_June 2026/bicyclists/tc1456.pdf
TC9606,BICYCLE PATH SIGN,Bicyclists,BICYCLE_PATH_SIGN_TC9606.svg,300x354 mm,"size from the sheet's dimension table, first row (a = 300, b = 450); other rows are size variants not produced; type: BICYCLE PATH SIGN",Original PDFs/TC signs/TC Signs_June 2026/bicyclists/tc9606.pdf
TC9744,CHECK BRAKES,Bicyclists,CHECK_BRAKES_TC9744.svg,300x200 mm,"size from the sheet's dimension table, first row (a = 300, b = 200); other rows are size variants not produced; type: BIKEWAY WARNING SIGN",Original PDFs/TC signs/TC Signs_June 2026/bicyclists/tc9744.pdf
TC9744,CHECK BRAKES,Bicyclists,CHECK_BRAKES_VAR2_TC9744.svg,200x983 mm,"size from the sheet's dimension table, first row (a = 200, b = 300); other rows are size variants not produced; type: BIKEWAY WARNING SIGN",Original PDFs/TC signs/TC Signs_June 2026/bicyclists/tc9744.pdf
TC1900,ADVANCED INFORMATION SIGN (ONE CROSSING),Bridge,ADVANCED_INFORMATION_SIGN_ONE_CROSSING_TC1900.svg,2000x999 mm,size from the drawing's overall width dimension (2000 mm); type: BRIDGE LOAD LIMIT,Original PDFs/TC signs/TC Signs_June 2026/bridge/TC1900.pdf
TC1981,NO STOPPING ON BRIDGE,Bridge,NO_STOPPING_ON_BRIDGE_TC1981.svg,750x900 mm,size from the drawing's overall width dimension (750 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/bridge/TC1981.pdf
TC1981,NO STOPPING ON BRIDGE,Bridge,NO_STOPPING_ON_BRIDGE_VAR2_TC1981.svg,208x765 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/bridge/TC1981.pdf
TC1088,HIGH VEHICLE DETOUR,Bridge,HIGH_VEHICLE_DETOUR_TC1088.svg,2997x1500 mm,size from the drawing's overall height dimension (1500 mm); type: WARNING SIGN,Original PDFs/TC signs/TC Signs_June 2026/bridge/tc1088.pdf
TC1088,HIGH VEHICLE DETOUR,Bridge,HIGH_VEHICLE_DETOUR_VAR2_TC1088.svg,1000x270 mm,size from the drawing's overall width dimension (1000 mm); type: WARNING SIGN,Original PDFs/TC signs/TC Signs_June 2026/bridge/tc1088.pdf
TC1515,LOW BRIDGE ...m ON SIDE ROAD,Bridge,LOW_BRIDGE_M_ON_SIDE_ROAD_TC1515.svg,1800x800 mm,size from the drawing's overall width dimension (1800 mm); drawn at 2 sizes on the sheet; largest kept; type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/bridge/tc1515.pdf
